Mês,Código SH2,Descrição SH2,Exportação - 2025 - Valor US$ FOB,Exportação - 2025 - Quilograma Líquido,Importação - 2025 - Valor US$ FOB,Importação - 2025 - Quilograma Líquido,Exportação - 2024 - Valor US$ FOB,Exportação - 2024 - Quilograma Líquido,Importação - 2024 - Valor US$ FOB,Importação - 2024 - Quilograma Líquido,Exportação - 2023 - Valor US$ FOB,Exportação - 2023 - Quilograma Líquido,Importação - 2023 - Valor US$ FOB,Importação - 2023 - Quilograma Líquido,Exportação - 2022 - Valor US$ FOB,Exportação - 2022 - Quilograma Líquido,Importação - 2022 - Valor US$ FOB,Importação - 2022 - Quilograma Líquido,Exportação - 2021 - Valor US$ FOB,Exportação - 2021 - Quilograma Líquido,Importação - 2021 - Valor US$ FOB,Importação - 2021 - Quilograma Líquido,Exportação - 2020 - Valor US$ FOB,Exportação - 2020 - Quilograma Líquido,Importação - 2020 - Valor US$ FOB,Importação - 2020 - Quilograma Líquido,Exportação - 2019 - Valor US$ FOB,Exportação - 2019 - Quilograma Líquido,Importação - 2019 - Valor US$ FOB,Importação - 2019 - Quilograma Líquido,Exportação - 2018 - Valor US$ FOB,Exportação - 2018 - Quilograma Líquido,Importação - 2018 - Valor US$ FOB,Importação - 2018 - Quilograma Líquido,Exportação - 2017 - Valor US$ FOB,Exportação - 2017 - Quilograma Líquido,Importação - 2017 - Valor US$ FOB,Importação - 2017 - Quilograma Líquido,Exportação - 2016 - Valor US$ FOB,Exportação - 2016 - Quilograma Líquido,Importação - 2016 - Valor US$ FOB,Importação - 2016 - Quilograma Líquido,Exportação - 2015 - Valor US$ FOB,Exportação - 2015 - Quilograma Líquido,Importação - 2015 - Valor US$ FOB,Importação - 2015 - Quilograma Líquido,Exportação - 2014 - Valor US$ FOB,Exportação - 2014 - Quilograma Líquido,Importação - 2014 - Valor US$ FOB,Importação - 2014 - Quilograma Líquido,Exportação - 2013 - Valor US$ FOB,Exportação - 2013 - Quilograma Líquido,Importação - 2013 - Valor US$ FOB,Importação - 2013 - Quilograma Líquido,Exportação - 2012 - Valor US$ FOB,Exportação - 2012 - Quilograma Líquido,Importação - 2012 - Valor US$ FOB,Importação - 2012 - Quilograma Líquido,Exportação - 2011 - Valor US$ FOB,Exportação - 2011 - Quilograma Líquido,Importação - 2011 - Valor US$ FOB,Importação - 2011 - Quilograma Líquido,Exportação - 2010 - Valor US$ FOB,Exportação - 2010 - Quilograma Líquido,Importação - 2010 - Valor US$ FOB,Importação - 2010 - Quilograma Líquido,Exportação - 2009 - Valor US$ FOB,Exportação - 2009 - Quilograma Líquido,Importação - 2009 - Valor US$ FOB,Importação - 2009 - Quilograma Líquido,Exportação - 2008 - Valor US$ FOB,Exportação - 2008 - Quilograma Líquido,Importação - 2008 - Valor US$ FOB,Importação - 2008 - Quilograma Líquido,Exportação - 2007 - Valor US$ FOB,Exportação - 2007 - Quilograma Líquido,Importação - 2007 - Valor US$ FOB,Importação - 2007 - Quilograma Líquido,Exportação - 2006 - Valor US$ FOB,Exportação - 2006 - Quilograma Líquido,Importação - 2006 - Valor US$ FOB,Importação - 2006 - Quilograma Líquido,Exportação - 2005 - Valor US$ FOB,Exportação - 2005 - Quilograma Líquido,Importação - 2005 - Valor US$ FOB,Importação - 2005 - Quilograma Líquido,Exportação - 2004 - Valor US$ FOB,Exportação - 2004 - Quilograma Líquido,Importação - 2004 - Valor US$ FOB,Importação - 2004 - Quilograma Líquido,Exportação - 2003 - Valor US$ FOB,Exportação - 2003 - Quilograma Líquido,Importação - 2003 - Valor US$ FOB,Importação - 2003 - Quilograma Líquido,Exportação - 2002 - Valor US$ FOB,Exportação - 2002 - Quilograma Líquido,Importação - 2002 - Valor US$ FOB,Importação - 2002 - Quilograma Líquido,Exportação - 2001 - Valor US$ FOB,Exportação - 2001 - Quilograma Líquido,Importação - 2001 - Valor US$ FOB,Importação - 2001 - Quilograma Líquido,Exportação - 2000 - Valor US$ FOB,Exportação - 2000 - Quilograma Líquido,Importação - 2000 - Valor US$ FOB,Importação - 2000 - Quilograma Líquido,Exportação - 1999 - Valor US$ FOB,Exportação - 1999 - Quilograma Líquido,Importação - 1999 - Valor US$ FOB,Importação - 1999 - Quilograma Líquido,Exportação - 1998 - Valor US$ FOB,Exportação - 1998 - Quilograma Líquido,Importação - 1998 - Valor US$ FOB,Importação - 1998 - Quilograma Líquido,Exportação - 1997 - Valor US$ FOB,Exportação - 1997 - Quilograma Líquido,Importação - 1997 - Valor US$ FOB,Importação - 1997 - Quilograma Líquido
11. Novembro,06,Plantas vivas e produtos de floricultura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4806,888,0,0
04. Abril,51,"Lã, pelos finos ou grosseiros; fios e tecidos de crina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27885,1443,0,0,0,0
01. Janeiro,06,Plantas vivas e produtos de floricultura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8293,725,0,0,2485,355,0,0
03. Março,99,Transações especiais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1536,3704,0,0,0,0,0,0,0,0,0,0
02. Fevereiro,45,Cortiça e suas obras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,38,0,0,0,0,0
02. Fevereiro,43,Peles com pelo e suas obras; peles com pelo artificiais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5068,26070,0,0,0,0,0,0,0,0,0,0,0,0,0,0
05. Maio,99,Transações especiais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3928,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03. Março,51,"Lã, pelos finos ou grosseiros; fios e tecidos de crina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22079,1621,0,0,0,0,0,0,0,0,0,0,17183,915,0,0,0,0
10. Outubro,01,Animais vivos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09. Setembro,97,"Objetos de arte, de coleção e antiguidades",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4870,320,0,0,0,0,0,0,0,0,0,0,8047,490,0,0,7489,421,0,0,3681,294,0,0,0,0,0,0
