Mês,Código SH4,Descrição SH4,2025 - Valor US$ FOB,2024 - Valor US$ FOB,2023 - Valor US$ FOB,2022 - Valor US$ FOB,2021 - Valor US$ FOB,2020 - Valor US$ FOB,2019 - Valor US$ FOB,2018 - Valor US$ FOB,2017 - Valor US$ FOB,2016 - Valor US$ FOB,2015 - Valor US$ FOB,2014 - Valor US$ FOB,2013 - Valor US$ FOB,2012 - Valor US$ FOB,2011 - Valor US$ FOB,2010 - Valor US$ FOB,2009 - Valor US$ FOB,2008 - Valor US$ FOB,2007 - Valor US$ FOB,2006 - Valor US$ FOB,2005 - Valor US$ FOB,2004 - Valor US$ FOB,2003 - Valor US$ FOB,2002 - Valor US$ FOB,2001 - Valor US$ FOB,2000 - Valor US$ FOB,1999 - Valor US$ FOB,1998 - Valor US$ FOB,1997 - Valor US$ FOB
01. Janeiro,8101,"Tungsténio (volfrâmio) e suas obras, incluídos os desperdícios, resíduos e sucata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1855
01. Janeiro,3811,"Preparações antidetonantes, inibidores de oxidação, aditivos peptizantes, beneficiadores de viscosidade, aditivos anticorrosivos e outros aditivos preparados, para óleos minerais (incluída a gasolina) ou para outros líquidos utilizados para os mesmos fins",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26574
01. Janeiro,2840,Boratos; peroxoboratos (perboratos),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1110
01. Janeiro,2839,Silicatos; silicatos dos metais alcalinos comerciais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3222
01. Janeiro,2815,Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12210
01. Janeiro,2207,"Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80 % vol; álcool etílico e aguardentes, desnaturados, com qualquer teor alcoólico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1343
02. Fevereiro,8408,"Motores de pistão, de ignição por compressão (motores diesel ou semi-diesel)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2324
02. Fevereiro,7006,"Vidro das posições 70.03, 70.04 ou 70.05, recurvado, biselado, gravado, brocado, esmaltado ou trabalhado de outro modo, mas não emoldurado nem associado a outras matérias",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
02. Fevereiro,5704,"Tapetes e outros revestimentos para pavimentos, de feltro, exceto os tufados e os flocados, mesmo confeccionados",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
02. Fevereiro,5509,"Fios de fibras sintéticas descontínuas (exceto linhas para costurar), não acondicionados para venda a retalho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
02. Fevereiro,2839,Silicatos; silicatos dos metais alcalinos comerciais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1811
02. Fevereiro,2207,"Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80 % vol; álcool etílico e aguardentes, desnaturados, com qualquer teor alcoólico",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564
04. Abril,4408,"Folhas para folheados (incluindo as obtidas por corte de madeira estratificada), folhas para contraplacados ou compensados ou para outras madeiras estratificadas semelhantes e madeira serrada longitudinalmente, cortada ou desenrolada, mesmo aplainada, pol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26516
04. Abril,2815,Hidróxido de sódio (soda cáustica); hidróxido de potássio (potassa cáustica); peróxidos de sódio ou de potássio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
04. Abril,2509,Cre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243
04. Abril,0603,"Flores e seus botões, cortados para ramos ou para ornamentação, frescos, secos, branqueados, tingidos, impregnados ou preparados de outro modo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2801
05. Maio,5509,"Fios de fibras sintéticas descontínuas (exceto linhas para costurar), não acondicionados para venda a retalho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75
05. Maio,4408,"Folhas para folheados (incluindo as obtidas por corte de madeira estratificada), folhas para contraplacados ou compensados ou para outras madeiras estratificadas semelhantes e madeira serrada longitudinalmente, cortada ou desenrolada, mesmo aplainada, pol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53820
