data:text/csv;charset=utf-8,
id_ibge,location,year,wage,num_jobs,wage_avg,wage_growth,wage_growth_5,num_emp_growth,num_emp_growth_5,bra_id,cnae_id,rca,distance,opp_gain,cnae_1,cnae_3,cnae_6,cbo_diversity,cbo_diversity_eff,num_est,num_jobs_est,cnae_display,bra_rca,wld_rca
4209102,"Joinville",2023,3836.07,2,1918.04,-0.222,-0.408,0,-0.418,"5sc010107","a01113",0.004,0.846,-0.384,"a","a01","a01113",292,17.426,0,0,"01113",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","a01121",0,0.793,0.143,"a","a01","a01121",192,32.174,0,0,"01121",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","a01130",0,0.807,-0.067,"a","a01","a01130",335,18.497,0,0,"01130",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","a01148",0,0.81,0.077,"a","a01","a01148",70,8.475,0,0,"01148",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","a01156",0,0.807,0.042,"a","a01","a01156",354,21.173,0,0,"01156",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","a01164",0,0.811,-0.125,"a","a01","a01164",153,17.371,0,0,"01164",false,false
4209102,"Joinville",2023,11005.16,5,2201.03,-0.141,-0.137,-0.167,-0.174,"5sc010107","a01199",0.019,0.809,-0.098,"a","a01","a01199",266,18.115,0,0,"01199",false,false
4209102,"Joinville",2023,99118.1,53,1870.15,0.232,-0.001,0.104,-0.057,"5sc010107","a01211",0.251,0.803,-0.148,"a","a01","a01211",238,17.925,0,0,"01211",false,false
4209102,"Joinville",2023,170288.06,77,2211.53,0.356,0.076,0.305,0.025,"5sc010107","a01229",0.98,0.81,-0.363,"a","a01","a01229",186,9.091,0,0,"01229",false,false
4209102,"Joinville",2023,0,0,0,0,0,0,0,"5sc010107","a01318",0,0.839,-0.336,"a","a01","a01318",195,8.761,0,0,"01318",false,false
