unnamed_column,duplicated_0,duplicated_1,duplicated_2,duplicated_3,duplicated_4,duplicated_5,duplicated_6,duplicated_7,duplicated_8,duplicated_9,duplicated_10,duplicated_11,duplicated_12,duplicated_13,duplicated_14,duplicated_15,duplicated_16,duplicated_17,duplicated_18,duplicated_19,duplicated_20,duplicated_21,duplicated_22,duplicated_23,duplicated_24,duplicated_25,duplicated_26
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RAIS - Divulgação: Março de 2025,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ano: 2024,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UF,Código,Município,Agropecuária,,,,Indústria,,,,Construção,,,,Comércio,,,,Serviços,,,,Total,,,
,,,,2023,2024.0,Variação Absoluta,Variação Relativa,2023,2024.0,Variação Absoluta,Variação Relativa,2023,2024.0,Variação Absoluta,Variação Relativa,2023,2024.0,Variação Absoluta,Variação Relativa,2023,2024.0,Variação Absoluta,Variação Relativa,2023,2024.0,Variação Absoluta,Variação Relativa
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RO,110001,Alta Floresta D'Oeste,447,441.0,-6,"-1,3%",313,333.0,20,"6,4%",86,95.0,9,"10,5%",984,994.0,10,"1,0%",463,491.0,28,"6,0%",2.293,2.354,61,"2,7%"
,RO,110002,Ariquemes,1.309,1.311,2,"0,2%",2.993,2.921,-72,"-2,4%",602,678.0,76,"12,6%",7.631,7.747,116,"1,5%",6.548,7.031,483,"7,4%",19.083,19.688,605,"3,2%"
,RO,110003,Cabixi,205,252.0,47,"22,9%",94,85.0,-9,"-9,6%",10,7.0,-3,"-30,0%",127,124.0,-3,"-2,4%",77,88.0,11,"14,3%",513,556.0,43,"8,4%"
,RO,110004,Cacoal,629,675.0,46,"7,3%",2.794,3.091,297,"10,6%",753,819.0,66,"8,8%",7.016,7.068,52,"0,7%",6.990,7.171,181,"2,6%",18.182,18.824,642,"3,5%"
,RO,110005,Cerejeiras,370,342.0,-28,"-7,6%",242,227.0,-15,"-6,2%",51,45.0,-6,"-11,8%",1.029,1.04,11,"1,1%",815,951.0,136,"16,7%",2.507,2.605,98,"3,9%"
,RO,110006,Colorado do Oeste,187,207.0,20,"10,7%",380,382.0,2,"0,5%",91,81.0,-10,"-11,0%",809,765.0,-44,"-5,4%",564,591.0,27,"4,8%",2.031,2.026,-5,"-0,2%"
,RO,110007,Corumbiara,1.101,1.165,64,"5,8%",53,53.0,0,"0,0%",33,18.0,-15,"-45,5%",193,197.0,4,"2,1%",116,128.0,12,"10,3%",1.496,1.561,65,"4,3%"
